,Kanji,Number (KANJIDIC),Heisig RTK1/3,JIS,KanKen (Jun1=1.5) (Jun2=2.5),strokes,Kana,English
,矢,2712,1220,4C70,9,5,シ    や    ,"dart, arrow "
,知,1832,1223,434E,9,8,チ    し.る    し.らせる    Name Readings:  さと    さとる    しり    しれ    とも    のり    ,"know, wisdom "
,社,1178,1092,3C52,9,7,シャ    やしろ    Name Readings:  こそ    ,"company, firm, office, association, shrine "
,秋,1231,900,3D29,9,9,シュウ    あき    とき    Name Readings:  あい    ,autumn 
,科,230,1179,324A,9,9,カ    Name Readings:  しな    ,"department, course, section "
,答,2064,947,457A,9,12,トウ    こた.える    こた.え    Name Readings:  どう    ,"solution, answer "
,算,1061,946,3B3B,9,14,サン    そろ    ,"calculate, divining, number, abacus, probability "
,米,2482,919,4A46,9,6,ベイ    マイ    メエトル    こめ    よね    Name Readings:  は    べ    まべ    め    よ    よな    よの    よま    ,"rice, USA, metre "
,紙,1104,1829,3B66,9,10,シ    かみ    ,paper 
,細,997,1363,3A59,9,11,サイ    ほそ.い    ほそ.る    こま.か    こま.かい    ,"dainty, get thin, taper, slender, narrow "
,組,1638,1776,4148,9,11,ソ    く.む    くみ    -ぐみ    ,"association, braid, plait, construct, assemble, unite, cooperate, grapple "
,絵,290,1346,3328,9,12,カイ    エ    ,"picture, drawing, painting, sketch "
,線,1598,1339,407E,9,15,セン    すじ    ,"line, track "
,羽,103,573,3129,9,6,ウ    は    わ    はね    Name Readings:  しゅう    ば    ,"feathers, counter for birds, rabbits "
,考,891,1252,394D,9,6,コウ    かんが.える    かんが.え    Name Readings:  たか    ,"consider, think over "
,聞,2469,1626,4A39,9,14,ブン    モン    き.く    き.こえる    ,"hear, ask, listen "
,肉,2157,1022,4679,9,6,ニク    ,meat 
,自,1139,36,3C2B,9,6,ジ    シ    みずか.ら    おの.ずから    おの.ずと    Name Readings:  より    ,oneself 
,船,1603,1874,4125,9,11,セン    ふね    ふな-    Name Readings:  ふ    ,"ship, boat "
,色,1417,1753,3F27,9,6,ショク    シキ    いろ    Name Readings:  しか    しこ    ,color 
,茶,1853,252,4363,9,9,チャ    サ    Name Readings:  ちや    ,tea 
,行,898,873,3954,9,6,コウ    ギョウ    アン    い.く    ゆ.く    -ゆ.き    -ゆき    -い.き    -いき    おこな.う    おこ.なう    Name Readings:  いく    なみ    なめ    みち    ゆき    ゆく    ,"going, journey "
,西,1534,1602,403E,9,6,セイ    サイ    ス    にし    Name Readings:  いり    ひし    むら    ,"west, Spain "
,親,1448,1504,3F46,9,16,シン    おや    おや-    した.しい    した.しむ    Name Readings:  ぎ    ちか    のり    ,"parent, intimacy, relative, familiarity, dealer (cards) "
